time (ms),linescan_near,velocity (m/s)
18914,"[15, 19, 18, 18, 17, 17, 19, 21, 25, 26, 27, 29, 29, 29, 30, 30, 31, 31, 30, 29, 30, 31, 30, 29, 29, 29, 28, 28, 28, 27, 27, 28, 28, 29, 29, 29, 29, 27, 24, 23, 23, 23, 25, 26, 29, 29, 28, 28, 29, 29, 28, 28, 28, 27, 27, 27, 27, 27, 28, 27, 28, 28, 26, 25, 25, 25, 25, 27, 33, 62, 88, 70, 36, 26, 26, 26, 26, 26, 27, 27, 27, 25, 26, 27, 26, 27, 27, 27, 27, 28, 28, 28, 27, 27, 26, 26, 26, 26, 27, 27, 26, 26, 26, 26, 25, 26, 26, 26, 26, 26, 26, 26, 25, 26, 25, 23, 22, 22, 20, 21, 24, 22, 21, 21, 20, 20, 20, 21]",4.340354443
18929,"[15, 18, 18, 18, 17, 17, 18, 22, 25, 27, 28, 29, 30, 29, 29, 29, 30, 29, 29, 27, 28, 30, 30, 31, 30, 29, 29, 29, 28, 28, 27, 27, 27, 28, 29, 29, 29, 28, 26, 25, 25, 25, 26, 26, 28, 28, 28, 29, 29, 28, 28, 28, 28, 29, 29, 28, 28, 28, 28, 28, 29, 30, 28, 26, 25, 27, 27, 27, 27, 42, 76, 88, 51, 28, 27, 27, 27, 27, 27, 27, 27, 26, 26, 26, 26, 25, 25, 25, 26, 26, 26, 26, 26, 26, 25, 25, 25, 25, 25, 26, 25, 26, 26, 26, 26, 25, 25, 26, 26, 26, 26, 25, 25, 24, 23, 22, 21, 20, 19, 21, 23, 21, 21, 20, 20, 20, 21, 21]",4.702051163
18944,"[15, 19, 18, 18, 17, 17, 19, 22, 25, 26, 27, 28, 28, 28, 28, 28, 29, 29, 29, 29, 28, 28, 29, 30, 29, 29, 28, 28, 28, 28, 28, 28, 27, 27, 27, 27, 27, 27, 27, 26, 27, 29, 29, 28, 29, 28, 28, 28, 28, 28, 28, 27, 26, 26, 27, 30, 28, 27, 26, 25, 26, 29, 30, 30, 28, 25, 26, 29, 28, 28, 53, 88, 81, 43, 28, 27, 27, 27, 27, 27, 28, 28, 27, 27, 27, 27, 27, 26, 26, 26, 26, 26, 25, 25, 26, 25, 25, 26, 25, 26, 26, 26, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 24, 24, 23, 21, 21, 20, 20, 21, 23, 23, 22, 20, 20, 21, 21, 21]",4.702051163
18959,"[15, 19, 18, 18, 17, 17, 19, 21, 25, 26, 27, 27, 28, 28, 28, 27, 28, 31, 31, 31, 30, 30, 29, 29, 30, 31, 31, 29, 28, 25, 24, 25, 25, 26, 26, 26, 27, 27, 26, 27, 27, 28, 29, 30, 28, 27, 29, 28, 27, 28, 28, 28, 28, 28, 26, 26, 27, 30, 30, 28, 26, 25, 26, 28, 30, 30, 28, 25, 25, 30, 30, 64, 90, 66, 35, 28, 28, 28, 28, 28, 28, 28, 28, 27, 27, 27, 27, 27, 27, 27, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 27, 26, 26, 26, 26, 26, 26, 26, 25, 25, 24, 23, 22, 20, 20, 22, 24, 23, 21, 20, 20, 21, 21, 21]",4.340354443
18974,"[16, 19, 18, 18, 17, 17, 18, 21, 25, 26, 27, 28, 29, 29, 29, 29, 29, 30, 29, 29, 28, 28, 28, 28, 28, 30, 30, 29, 28, 28, 28, 28, 28, 29, 29, 30, 29, 29, 29, 28, 28, 28, 29, 30, 30, 29, 28, 29, 29, 28, 27, 28, 28, 28, 28, 27, 26, 26, 28, 28, 29, 27, 26, 25, 27, 28, 30, 30, 28, 26, 27, 40, 73, 88, 53, 29, 28, 28, 28, 28, 28, 28, 28, 27, 28, 27, 27, 27, 27, 27, 27, 27, 26, 26, 26, 26, 26, 26, 26, 27, 26, 26, 26, 26, 26, 27, 26, 27, 27, 27, 27, 27, 27, 26, 25, 24, 23, 21, 20, 22, 24, 23, 21, 20, 20, 20, 20, 21]",4.702051163
18989,"[15, 19, 19, 18, 17, 17, 19, 21, 25, 26, 27, 27, 28, 28, 28, 27, 28, 29, 29, 29, 29, 30, 29, 29, 29, 29, 30, 31, 30, 29, 29, 29, 28, 29, 29, 30, 30, 28, 29, 29, 28, 27, 28, 28, 29, 30, 30, 29, 28, 28, 28, 27, 28, 27, 27, 28, 27, 25, 26, 27, 29, 29, 28, 27, 25, 25, 26, 28, 30, 30, 27, 26, 54, 92, 79, 41, 28, 28, 29, 29, 29, 28, 28, 28, 29, 28, 28, 28, 28, 28, 27, 27, 26, 27, 26, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 28, 27, 27, 26, 25, 24, 24, 22, 20, 22, 24, 23, 21, 21, 20, 20, 21, 21]",4.702051163
19004,"[15, 19, 18, 18, 17, 17, 18, 21, 25, 26, 26, 27, 28, 28, 28, 28, 29, 30, 30, 30, 30, 30, 30, 30, 31, 31, 31, 31, 30, 30, 29, 30, 28, 29, 28, 28, 29, 29, 28, 28, 29, 28, 27, 27, 28, 28, 29, 30, 29, 28, 28, 29, 28, 27, 27, 28, 28, 28, 28, 26, 27, 27, 29, 29, 27, 27, 24, 25, 27, 28, 29, 30, 34, 70, 91, 50, 28, 27, 28, 28, 29, 28, 28, 28, 28, 27, 27, 27, 27, 27, 27, 26, 24, 22, 22, 23, 26, 26, 26, 27, 26, 26, 26, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 26, 25, 24, 25, 23, 21, 22, 24, 23, 21, 21, 20, 20, 21, 21]",4.340354443
19019,"[15, 19, 18, 18, 17, 17, 19, 21, 24, 26, 26, 27, 28, 29, 29, 29, 30, 32, 32, 31, 31, 31, 31, 31, 30, 30, 29, 29, 30, 30, 29, 29, 29, 28, 28, 28, 28, 28, 29, 28, 28, 29, 28, 28, 28, 28, 28, 29, 29, 30, 28, 27, 29, 28, 27, 27, 28, 28, 29, 27, 26, 27, 26, 27, 30, 28, 27, 25, 24, 25, 28, 29, 35, 71, 91, 54, 30, 28, 27, 27, 29, 29, 29, 29, 29, 29, 28, 28, 28, 28, 28, 27, 27, 25, 23, 22, 24, 27, 27, 27, 26, 26, 27, 26, 27, 26, 26, 26, 27, 27, 27, 27, 27, 26, 25, 24, 25, 23, 22, 22, 24, 23, 21, 20, 20, 20, 20, 21]",4.702051163
19034,"[15, 19, 18, 18, 17, 17, 19, 22, 25, 26, 27, 28, 29, 29, 30, 30, 30, 31, 31, 30, 30, 31, 30, 31, 31, 31, 31, 31, 30, 30, 30, 30, 29, 29, 28, 28, 28, 28, 29, 29, 28, 28, 29, 28, 27, 27, 28, 28, 28, 29, 29, 28, 28, 28, 28, 27, 27, 27, 28, 27, 27, 26, 25, 26, 26, 28, 28, 27, 25, 24, 24, 28, 48, 80, 88, 47, 26, 29, 28, 28, 28, 28, 28, 28, 29, 28, 27, 27, 27, 27, 27, 27, 27, 26, 25, 25, 26, 26, 26, 27, 26, 26, 27, 27, 27, 27, 27, 27, 28, 27, 28, 28, 27, 26, 25, 24, 24, 22, 21, 22, 24, 23, 21, 21, 20, 21, 21, 21]",4.702051163
19049,"[15, 19, 19, 18, 17, 17, 18, 21, 25, 26, 27, 27, 29, 29, 30, 30, 31, 31, 32, 31, 30, 31, 30, 30, 30, 30, 29, 29, 29, 29, 30, 30, 28, 29, 28, 27, 27, 28, 27, 28, 29, 28, 28, 29, 28, 27, 27, 28, 28, 28, 29, 29, 28, 27, 28, 28, 27, 26, 27, 27, 27, 28, 26, 26, 27, 26, 27, 28, 27, 25, 24, 25, 58, 89, 75, 34, 26, 25, 29, 28, 28, 27, 29, 30, 29, 28, 29, 28, 28, 28, 28, 28, 29, 29, 28, 28, 29, 27, 27, 28, 28, 29, 29, 27, 28, 27, 27, 28, 29, 29, 28, 28, 27, 26, 24, 24, 23, 22, 21, 22, 24, 23, 21, 21, 20, 20, 20, 21]",4.702051163
19064,"[15, 19, 19, 18, 17, 17, 19, 21, 24, 26, 26, 27, 29, 29, 29, 29, 29, 30, 30, 30, 30, 30, 30, 31, 31, 30, 30, 30, 30, 29, 29, 30, 29, 28, 28, 27, 27, 27, 27, 27, 28, 29, 28, 27, 29, 28, 27, 28, 28, 27, 28, 29, 29, 28, 26, 27, 27, 25, 25, 25, 25, 26, 25, 25, 25, 25, 24, 25, 25, 25, 24, 33, 69, 91, 53, 26, 29, 28, 28, 28, 28, 28, 28, 29, 31, 27, 27, 28, 27, 26, 27, 28, 27, 29, 29, 27, 28, 27, 26, 27, 27, 28, 30, 27, 28, 27, 27, 27, 28, 28, 27, 28, 27, 26, 24, 24, 23, 22, 21, 22, 24, 23, 21, 20, 20, 20, 21, 21]",4.340354443
19079,"[15, 19, 18, 18, 17, 17, 18, 21, 24, 26, 26, 27, 28, 29, 29, 29, 29, 30, 31, 30, 30, 30, 30, 29, 29, 29, 29, 29, 29, 29, 28, 30, 29, 29, 28, 28, 27, 27, 26, 26, 26, 27, 27, 26, 26, 26, 26, 26, 25, 25, 26, 25, 25, 25, 25, 24, 22, 22, 22, 22, 22, 24, 23, 24, 24, 24, 24, 24, 24, 24, 25, 54, 86, 75, 39, 26, 28, 29, 29, 29, 30, 29, 29, 29, 30, 30, 27, 27, 27, 26, 26, 27, 27, 27, 28, 27, 26, 27, 25, 26, 25, 26, 28, 28, 27, 28, 27, 26, 27, 28, 28, 27, 26, 26, 24, 24, 23, 22, 21, 22, 24, 23, 21, 20, 20, 20, 21, 21]",4.702051163
19094,"[15, 19, 18, 18, 17, 17, 18, 21, 24, 25, 26, 26, 27, 26, 26, 26, 27, 29, 31, 31, 30, 30, 29, 28, 28, 28, 27, 28, 27, 26, 28, 29, 29, 29, 28, 27, 26, 26, 26, 25, 26, 26, 26, 25, 25, 25, 25, 26, 26, 25, 26, 25, 25, 26, 25, 25, 24, 23, 22, 21, 22, 24, 25, 25, 24, 24, 24, 25, 23, 24, 36, 72, 89, 51, 25, 24, 25, 27, 28, 28, 29, 28, 28, 28, 28, 27, 25, 24, 26, 25, 25, 25, 25, 26, 27, 28, 25, 26, 26, 26, 25, 26, 28, 28, 28, 28, 27, 26, 27, 28, 29, 27, 27, 26, 24, 24, 23, 22, 21, 22, 24, 23, 21, 20, 20, 20, 20, 21]",4.702051163
19109,"[15, 19, 19, 18, 17, 17, 19, 22, 24, 26, 26, 26, 27, 27, 28, 28, 27, 29, 29, 29, 29, 29, 29, 29, 31, 31, 29, 29, 29, 27, 28, 30, 30, 30, 29, 28, 27, 26, 26, 25, 25, 25, 25, 25, 24, 24, 24, 25, 25, 25, 25, 25, 25, 25, 25, 25, 24, 24, 23, 22, 22, 23, 24, 25, 25, 24, 24, 24, 24, 25, 57, 88, 71, 35, 25, 25, 26, 26, 29, 29, 29, 28, 29, 28, 29, 28, 29, 27, 26, 28, 27, 26, 27, 28, 29, 29, 29, 27, 28, 27, 26, 27, 28, 29, 29, 27, 28, 26, 27, 28, 29, 28, 27, 26, 25, 24, 24, 22, 21, 22, 24, 23, 21, 21, 20, 20, 20, 21]",4.702051163
19124,"[15, 19, 19, 18, 17, 17, 18, 21, 24, 25, 26, 26, 28, 29, 29, 28, 29, 30, 31, 31, 30, 30, 29, 30, 30, 30, 29, 29, 29, 28, 27, 29, 28, 29, 29, 29, 27, 26, 26, 25, 25, 26, 26, 25, 25, 25, 24, 25, 25, 26, 25, 25, 26, 25, 25, 26, 25, 25, 24, 22, 22, 23, 23, 24, 24, 24, 24, 24, 24, 29, 67, 91, 55, 26, 25, 24, 25, 25, 26, 28, 28, 28, 28, 28, 28, 27, 27, 28, 27, 27, 27, 26, 25, 26, 26, 26, 27, 26, 25, 26, 25, 25, 25, 26, 27, 26, 26, 26, 26, 26, 26, 27, 26, 25, 24, 24, 23, 22, 21, 22, 24, 23, 21, 20, 19, 20, 20, 21]",4.340354443
19139,"[15, 19, 18, 18, 17, 17, 18, 21, 24, 25, 26, 26, 27, 27, 26, 26, 28, 30, 31, 30, 30, 30, 29, 29, 29, 29, 29, 28, 27, 26, 26, 27, 29, 30, 30, 30, 28, 27, 25, 25, 25, 25, 26, 25, 26, 26, 25, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 22, 22, 23, 23, 23, 25, 25, 24, 25, 25, 52, 83, 81, 43, 26, 25, 25, 25, 25, 25, 26, 29, 29, 29, 29, 29, 28, 27, 27, 27, 25, 26, 26, 24, 24, 25, 25, 25, 26, 25, 25, 25, 24, 25, 25, 26, 27, 25, 25, 25, 25, 26, 26, 26, 25, 24, 23, 23, 22, 20, 21, 24, 22, 21, 20, 19, 20, 20, 20]",4.702051163
19154,"[16, 19, 18, 18, 17, 17, 18, 21, 24, 26, 26, 26, 27, 28, 29, 29, 29, 29, 30, 31, 30, 30, 29, 29, 28, 28, 28, 27, 27, 27, 25, 26, 26, 28, 29, 29, 30, 29, 26, 25, 25, 25, 26, 26, 26, 25, 26, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 24, 24, 23, 22, 22, 24, 24, 25, 26, 28, 65, 89, 62, 30, 26, 26, 25, 27, 25, 26, 26, 28, 27, 27, 27, 27, 26, 26, 25, 25, 27, 24, 25, 24, 25, 24, 24, 26, 26, 26, 26, 25, 25, 24, 24, 26, 27, 27, 26, 26, 25, 26, 26, 27, 25, 24, 23, 23, 22, 21, 22, 24, 22, 21, 20, 19, 20, 20, 20]",4.702051163
19169,"[15, 19, 18, 18, 17, 17, 18, 21, 24, 26, 26, 28, 28, 29, 29, 29, 29, 30, 30, 31, 31, 31, 30, 29, 29, 28, 28, 29, 28, 26, 26, 26, 25, 26, 28, 28, 29, 28, 27, 25, 25, 25, 25, 25, 26, 25, 25, 26, 27, 26, 27, 26, 27, 28, 27, 27, 27, 28, 28, 28, 28, 28, 27, 27, 28, 27, 27, 28, 43, 77, 88, 50, 28, 28, 27, 27, 27, 27, 27, 27, 28, 27, 27, 26, 27, 25, 25, 25, 25, 27, 28, 26, 27, 26, 26, 26, 27, 27, 28, 29, 27, 27, 27, 26, 27, 27, 28, 27, 27, 27, 27, 27, 26, 24, 23, 23, 22, 22, 20, 21, 23, 22, 21, 20, 19, 20, 20, 20]",4.340354443
19184,"[19, 19, 18, 18, 17, 17, 18, 21, 25, 26, 27, 28, 28, 29, 29, 30, 29, 30, 30, 30, 31, 31, 31, 30, 29, 29, 28, 28, 28, 28, 27, 28, 26, 26, 26, 27, 28, 28, 27, 26, 28, 28, 29, 28, 29, 27, 27, 28, 28, 27, 27, 26, 26, 26, 26, 26, 27, 26, 27, 26, 27, 26, 26, 25, 26, 25, 25, 26, 63, 89, 71, 36, 26, 26, 25, 26, 26, 25, 25, 25, 26, 26, 26, 26, 25, 25, 26, 26, 26, 26, 27, 26, 25, 26, 25, 25, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 27, 27, 26, 26, 25, 25, 24, 24, 23, 23, 22, 21, 20, 21, 23, 21, 21, 20, 19, 20, 20, 20]",4.702051163
19199,"[19, 19, 18, 18, 17, 17, 19, 21, 24, 26, 27, 28, 29, 29, 29, 30, 30, 31, 30, 30, 30, 31, 31, 30, 30, 30, 29, 28, 28, 28, 27, 28, 27, 26, 26, 26, 27, 27, 26, 26, 26, 27, 26, 27, 27, 27, 26, 27, 27, 27, 26, 27, 27, 26, 25, 26, 25, 25, 26, 26, 26, 26, 24, 26, 25, 24, 24, 33, 69, 91, 54, 26, 26, 25, 25, 27, 28, 27, 25, 24, 25, 26, 27, 27, 26, 24, 26, 26, 26, 25, 26, 26, 25, 25, 25, 25, 25, 26, 26, 26, 25, 25, 25, 25, 25, 25, 26, 26, 26, 25, 26, 25, 25, 24, 24, 23, 22, 21, 20, 21, 23, 21, 21, 20, 19, 20, 20, 20]",4.702051163
19214,"[15, 19, 18, 18, 16, 17, 18, 21, 24, 26, 26, 28, 29, 29, 29, 29, 30, 31, 30, 30, 30, 30, 30, 30, 29, 30, 28, 28, 28, 28, 29, 29, 29, 29, 28, 28, 28, 28, 29, 29, 27, 27, 28, 27, 25, 25, 25, 26, 26, 26, 25, 24, 24, 24, 23, 22, 23, 23, 24, 23, 25, 28, 27, 25, 25, 26, 25, 45, 78, 87, 47, 27, 27, 24, 24, 24, 25, 26, 25, 24, 23, 23, 26, 27, 28, 25, 23, 24, 27, 25, 25, 26, 25, 23, 23, 24, 24, 24, 24, 24, 25, 24, 24, 24, 25, 25, 25, 25, 25, 24, 24, 24, 25, 24, 24, 23, 23, 22, 20, 21, 23, 21, 21, 20, 19, 20, 20, 20]",4.702051163
19229,"[15, 19, 18, 18, 17, 17, 18, 21, 24, 25, 26, 27, 28, 29, 28, 28, 30, 31, 30, 29, 29, 29, 29, 28, 27, 28, 27, 28, 28, 28, 29, 30, 29, 30, 29, 30, 29, 29, 29, 29, 29, 28, 28, 27, 25, 25, 26, 25, 25, 26, 27, 28, 26, 25, 26, 26, 25, 24, 25, 25, 26, 26, 28, 28, 26, 27, 28, 61, 88, 72, 36, 26, 25, 25, 25, 23, 23, 25, 26, 25, 24, 23, 23, 25, 27, 27, 25, 23, 24, 26, 24, 24, 24, 24, 22, 23, 25, 24, 24, 24, 24, 24, 25, 25, 25, 25, 25, 25, 25, 24, 24, 25, 25, 24, 24, 23, 23, 22, 20, 21, 23, 21, 21, 20, 19, 20, 20, 20]",4.340354443
19244,"[18, 19, 18, 18, 17, 17, 18, 21, 24, 26, 26, 27, 28, 28, 27, 27, 28, 29, 30, 30, 30, 30, 30, 30, 30, 30, 30, 31, 30, 30, 30, 30, 29, 29, 29, 29, 28, 29, 29, 28, 29, 29, 27, 26, 27, 27, 26, 27, 27, 26, 27, 28, 28, 27, 25, 27, 25, 25, 25, 24, 25, 26, 26, 27, 28, 27, 29, 74, 90, 57, 27, 26, 25, 26, 27, 25, 25, 24, 26, 27, 27, 24, 23, 23, 25, 26, 26, 25, 23, 24, 26, 25, 24, 24, 24, 23, 24, 24, 23, 23, 23, 24, 24, 24, 24, 23, 24, 24, 25, 25, 26, 26, 25, 25, 24, 23, 23, 22, 20, 21, 23, 22, 21, 20, 19, 20, 20, 20]",4.702051163
19259,"[19, 19, 18, 18, 17, 17, 19, 21, 25, 26, 26, 27, 29, 29, 27, 27, 29, 31, 31, 30, 30, 30, 30, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 28, 27, 28, 29, 28, 27, 28, 28, 27, 26, 27, 27, 27, 28, 29, 28, 26, 26, 27, 26, 25, 25, 25, 25, 25, 27, 27, 40, 76, 90, 52, 26, 26, 26, 26, 26, 25, 25, 24, 25, 25, 28, 26, 25, 23, 23, 23, 25, 26, 25, 23, 23, 26, 25, 24, 24, 25, 25, 25, 24, 24, 25, 25, 25, 25, 24, 24, 25, 26, 26, 26, 27, 27, 26, 26, 24, 24, 23, 22, 21, 21, 23, 22, 21, 20, 19, 20, 20, 20]",4.702051163
19274,"[15, 19, 19, 18, 17, 17, 19, 22, 25, 26, 27, 27, 28, 28, 27, 27, 27, 30, 31, 30, 30, 30, 30, 30, 29, 30, 30, 29, 29, 29, 29, 29, 28, 29, 28, 28, 28, 29, 29, 28, 28, 27, 28, 29, 28, 27, 28, 27, 27, 27, 27, 27, 27, 28, 29, 29, 27, 26, 28, 27, 25, 26, 26, 27, 27, 28, 52, 85, 85, 45, 27, 26, 25, 25, 26, 25, 26, 25, 24, 25, 26, 27, 28, 26, 25, 23, 24, 26, 27, 26, 23, 22, 26, 25, 24, 23, 24, 24, 24, 25, 25, 25, 25, 25, 26, 25, 26, 26, 26, 25, 26, 26, 26, 25, 24, 23, 22, 21, 20, 21, 23, 22, 21, 21, 20, 20, 20, 21]",4.702051163
19289,"[15, 19, 18, 17, 17, 17, 18, 21, 24, 26, 26, 26, 27, 27, 27, 26, 26, 28, 29, 30, 30, 29, 30, 29, 29, 29, 29, 29, 28, 29, 28, 30, 29, 29, 29, 30, 30, 29, 29, 28, 28, 28, 29, 29, 29, 29, 28, 28, 28, 27, 27, 26, 27, 27, 28, 28, 29, 28, 26, 27, 27, 26, 26, 26, 27, 27, 40, 76, 89, 52, 26, 27, 27, 25, 24, 24, 25, 25, 25, 24, 25, 25, 26, 27, 27, 25, 23, 23, 24, 27, 27, 25, 23, 25, 25, 24, 24, 25, 25, 24, 24, 24, 25, 26, 26, 25, 26, 26, 26, 25, 26, 25, 25, 24, 23, 23, 22, 21, 20, 21, 22, 22, 21, 20, 19, 20, 20, 20]",4.340354443
19304,"[14, 19, 18, 18, 17, 17, 18, 21, 24, 26, 26, 25, 26, 26, 27, 28, 28, 28, 29, 31, 31, 31, 30, 30, 29, 29, 29, 29, 29, 28, 28, 28, 28, 28, 27, 27, 27, 27, 27, 25, 24, 24, 26, 28, 28, 29, 29, 29, 27, 28, 28, 27, 26, 27, 27, 27, 28, 29, 29, 27, 26, 28, 27, 25, 25, 26, 27, 59, 89, 75, 39, 27, 25, 27, 26, 25, 25, 25, 25, 26, 25, 24, 25, 25, 26, 27, 26, 24, 23, 24, 26, 28, 27, 25, 24, 26, 26, 25, 25, 24, 24, 24, 24, 24, 25, 25, 25, 26, 26, 26, 26, 26, 25, 25, 24, 23, 23, 21, 20, 21, 23, 21, 21, 20, 19, 20, 20, 20]",4.702051163
19319,"[16, 19, 18, 17, 16, 17, 18, 21, 24, 26, 26, 27, 27, 27, 29, 29, 29, 29, 28, 29, 30, 29, 28, 28, 28, 27, 27, 27, 28, 28, 27, 28, 27, 27, 27, 28, 29, 29, 29, 29, 26, 24, 23, 26, 28, 27, 28, 30, 29, 27, 27, 27, 27, 26, 26, 26, 26, 26, 28, 29, 28, 26, 26, 27, 26, 26, 26, 46, 79, 88, 48, 28, 27, 25, 26, 27, 26, 24, 25, 25, 25, 25, 24, 24, 25, 25, 26, 24, 24, 24, 24, 25, 26, 26, 24, 24, 26, 25, 24, 25, 24, 24, 24, 24, 24, 23, 24, 24, 25, 24, 25, 24, 24, 24, 23, 22, 22, 21, 19, 20, 23, 21, 20, 20, 19, 20, 20, 20]",4.702051163
19334,"[15, 19, 18, 17, 17, 17, 19, 21, 24, 26, 26, 27, 27, 27, 28, 28, 29, 29, 29, 29, 29, 29, 29, 29, 28, 28, 28, 27, 27, 27, 27, 28, 28, 27, 27, 27, 29, 28, 27, 27, 28, 27, 25, 24, 25, 27, 29, 28, 29, 29, 28, 27, 28, 27, 27, 26, 26, 27, 27, 27, 27, 27, 26, 27, 27, 27, 27, 30, 65, 92, 63, 31, 26, 26, 26, 26, 26, 25, 26, 26, 26, 26, 26, 27, 26, 26, 25, 25, 25, 25, 24, 24, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 24, 24, 24, 23, 23, 24, 27, 28, 27, 27, 25, 25, 25, 24, 23, 21, 20, 20, 23, 21, 21, 20, 19, 20, 20, 20]",4.340354443
19349,"[17, 18, 18, 17, 16, 17, 18, 21, 24, 25, 26, 26, 27, 27, 28, 28, 29, 29, 29, 29, 28, 28, 28, 29, 28, 28, 28, 29, 28, 28, 28, 28, 27, 28, 29, 28, 27, 27, 26, 27, 29, 29, 27, 25, 28, 28, 26, 27, 27, 27, 26, 26, 27, 27, 26, 26, 26, 26, 27, 27, 27, 27, 27, 28, 27, 27, 27, 28, 56, 85, 84, 45, 27, 26, 26, 27, 27, 26, 26, 26, 27, 27, 27, 27, 27, 26, 26, 26, 25, 25, 26, 25, 25, 25, 25, 25, 25, 24, 24, 24, 24, 24, 24, 24, 24, 23, 23, 23, 23, 25, 28, 27, 27, 26, 24, 24, 24, 22, 20, 21, 23, 21, 21, 20, 19, 20, 20, 20]",4.702051163
19364,"[15, 19, 18, 18, 17, 17, 18, 21, 24, 25, 26, 25, 26, 26, 27, 27, 28, 29, 30, 30, 30, 29, 29, 29, 29, 30, 29, 28, 28, 28, 27, 28, 28, 27, 27, 27, 28, 27, 26, 25, 25, 27, 29, 28, 26, 25, 27, 27, 26, 25, 25, 26, 25, 25, 25, 25, 25, 25, 26, 25, 25, 26, 26, 26, 26, 25, 25, 26, 34, 71, 90, 56, 28, 27, 27, 27, 27, 26, 27, 27, 27, 26, 27, 27, 27, 27, 26, 26, 26, 26, 26, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 26, 27, 26, 27, 26, 26, 27, 28, 27, 26, 25, 24, 23, 22, 21, 21, 24, 22, 21, 20, 19, 20, 20, 20]",4.702051163
19379,"[14, 19, 18, 17, 16, 17, 18, 21, 24, 26, 26, 26, 27, 27, 28, 28, 29, 29, 29, 30, 30, 30, 29, 28, 28, 28, 29, 29, 28, 28, 27, 28, 28, 27, 26, 25, 25, 25, 26, 26, 24, 24, 26, 27, 27, 26, 25, 25, 25, 27, 26, 25, 25, 26, 26, 26, 27, 26, 26, 26, 26, 26, 25, 26, 26, 26, 26, 26, 30, 62, 88, 68, 34, 27, 26, 27, 27, 26, 27, 27, 28, 27, 27, 27, 27, 26, 26, 26, 27, 27, 26, 26, 26, 26, 26, 25, 26, 26, 26, 26, 26, 25, 24, 24, 25, 25, 27, 26, 27, 26, 26, 27, 27, 26, 25, 24, 23, 22, 20, 21, 23, 21, 21, 20, 19, 20, 20, 20]",4.702051163
19394,"[15, 19, 18, 17, 16, 17, 18, 21, 24, 26, 26, 27, 29, 29, 29, 29, 29, 30, 29, 30, 30, 30, 29, 29, 28, 29, 29, 30, 29, 28, 28, 28, 27, 27, 27, 26, 25, 26, 27, 26, 25, 25, 25, 25, 27, 29, 28, 26, 24, 26, 26, 25, 26, 27, 28, 27, 27, 28, 28, 27, 27, 27, 27, 27, 27, 26, 27, 27, 27, 54, 83, 85, 46, 28, 28, 28, 29, 28, 28, 28, 29, 28, 28, 28, 28, 27, 27, 27, 27, 27, 27, 27, 27, 28, 27, 27, 27, 27, 26, 27, 26, 26, 26, 25, 25, 25, 26, 28, 27, 27, 27, 26, 26, 26, 25, 24, 23, 22, 20, 21, 23, 21, 21, 20, 19, 20, 20, 20]",4.702051163
19409,"[14, 18, 18, 17, 17, 17, 18, 21, 24, 25, 26, 26, 28, 28, 28, 29, 29, 30, 30, 29, 30, 31, 30, 29, 28, 28, 29, 29, 30, 29, 28, 28, 27, 27, 27, 27, 27, 26, 27, 27, 28, 28, 26, 25, 25, 27, 28, 29, 27, 24, 25, 28, 27, 26, 25, 27, 27, 28, 28, 28, 28, 29, 27, 28, 28, 27, 26, 27, 28, 33, 69, 91, 58, 29, 28, 28, 28, 27, 27, 27, 28, 27, 27, 27, 28, 27, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 25, 25, 25, 25, 27, 27, 27, 26, 26, 26, 26, 24, 25, 22, 21, 21, 24, 23, 21, 20, 19, 20, 20, 20]",4.702051163
19424,"[14, 19, 18, 17, 16, 17, 18, 21, 24, 25, 26, 25, 27, 28, 29, 29, 29, 29, 30, 29, 30, 30, 30, 30, 29, 29, 28, 29, 29, 30, 29, 28, 28, 27, 27, 27, 27, 27, 26, 26, 27, 27, 28, 26, 25, 24, 26, 27, 28, 28, 26, 24, 25, 27, 25, 26, 26, 26, 27, 27, 28, 28, 27, 28, 28, 28, 28, 28, 28, 30, 65, 91, 67, 34, 29, 28, 29, 29, 29, 29, 29, 28, 28, 28, 29, 27, 27, 27, 27, 27, 27, 27, 26, 26, 27, 27, 27, 27, 27, 27, 26, 26, 26, 27, 27, 25, 25, 25, 25, 26, 28, 28, 27, 25, 25, 25, 25, 22, 21, 22, 24, 23, 21, 20, 19, 20, 20, 20]",4.702051163
